transcription_id,sentiment
208,"[[{'label': 'NEGATIVE', 'score': 0.7821782231330872}], [{'label': 'NEGATIVE', 'score': 0.7931681871414185}]]"
209,[]
210,"[[{'label': 'NEGATIVE', 'score': 0.9880614280700684}], [{'label': 'NEGATIVE', 'score': 0.9196614027023315}], [{'label': 'NEGATIVE', 'score': 0.9797829985618591}]]"
211,"[[{'label': 'POSITIVE', 'score': 0.9995861649513245}], [{'label': 'POSITIVE', 'score': 0.9998268485069275}]]"
212,"[[{'label': 'POSITIVE', 'score': 0.6093059778213501}], [{'label': 'NEGATIVE', 'score': 0.9051499962806702}]]"
213,"[[{'label': 'POSITIVE', 'score': 0.9589001536369324}], [{'label': 'POSITIVE', 'score': 0.9997745156288147}], [{'label': 'POSITIVE', 'score': 0.9977757334709167}], [{'label': 'POSITIVE', 'score': 0.99964439868927}], [{'label': 'POSITIVE', 'score': 0.9987528324127197}], [{'label': 'POSITIVE', 'score': 0.9996366500854492}], [{'label': 'POSITIVE', 'score': 0.9998641014099121}], [{'label': 'POSITIVE', 'score': 0.9667167067527771}], [{'label': 'POSITIVE', 'score': 0.8906739950180054}], [{'label': 'POSITIVE', 'score': 0.9988725781440735}], [{'label': 'POSITIVE', 'score': 0.9998726844787598}], [{'label': 'POSITIVE', 'score': 0.9993237257003784}], [{'label': 'POSITIVE', 'score': 0.9931464791297913}], [{'label': 'POSITIVE', 'score': 0.9985172152519226}], [{'label': 'NEGATIVE', 'score': 0.9382410645484924}], [{'label': 'POSITIVE', 'score': 0.9995614886283875}], [{'label': 'POSITIVE', 'score': 0.9997318387031555}], [{'label': 'POSITIVE', 'score': 0.9998005032539368}], [{'label': 'POSITIVE', 'score': 0.9998421669006348}], [{'label': 'POSITIVE', 'score': 0.915218710899353}], [{'label': 'POSITIVE', 'score': 0.9996910095214844}], [{'label': 'POSITIVE', 'score': 0.9998124241828918}], [{'label': 'POSITIVE', 'score': 0.9987103939056396}]]"
214,"[[{'label': 'NEGATIVE', 'score': 0.9879853129386902}], [{'label': 'NEGATIVE', 'score': 0.9576014876365662}], [{'label': 'NEGATIVE', 'score': 0.9484995603561401}], [{'label': 'NEGATIVE', 'score': 0.898349404335022}], [{'label': 'NEGATIVE', 'score': 0.9989621639251709}], [{'label': 'NEGATIVE', 'score': 0.9988828301429749}], [{'label': 'NEGATIVE', 'score': 0.9973713159561157}], [{'label': 'NEGATIVE', 'score': 0.9911612272262573}], [{'label': 'POSITIVE', 'score': 0.9975071549415588}], [{'label': 'NEGATIVE', 'score': 0.9111649990081787}], [{'label': 'POSITIVE', 'score': 0.9969712495803833}], [{'label': 'POSITIVE', 'score': 0.9995668530464172}], [{'label': 'NEGATIVE', 'score': 0.961256206035614}], [{'label': 'POSITIVE', 'score': 0.9914780259132385}], [{'label': 'NEGATIVE', 'score': 0.9885877370834351}], [{'label': 'NEGATIVE', 'score': 0.7224171161651611}], [{'label': 'NEGATIVE', 'score': 0.995959460735321}], [{'label': 'NEGATIVE', 'score': 0.9814053177833557}], [{'label': 'POSITIVE', 'score': 0.6162897348403931}], [{'label': 'NEGATIVE', 'score': 0.9995275735855103}], [{'label': 'NEGATIVE', 'score': 0.9996790885925293}], [{'label': 'NEGATIVE', 'score': 0.9952752590179443}], [{'label': 'NEGATIVE', 'score': 0.9801332950592041}], [{'label': 'POSITIVE', 'score': 0.9995242357254028}], [{'label': 'POSITIVE', 'score': 0.9998231530189514}]]"
215,"[[{'label': 'POSITIVE', 'score': 0.9987346529960632}], [{'label': 'POSITIVE', 'score': 0.9991267323493958}], [{'label': 'POSITIVE', 'score': 0.9971141815185547}], [{'label': 'POSITIVE', 'score': 0.9929435849189758}], [{'label': 'POSITIVE', 'score': 0.9994636178016663}], [{'label': 'NEGATIVE', 'score': 0.7292670011520386}], [{'label': 'POSITIVE', 'score': 0.9998034834861755}], [{'label': 'POSITIVE', 'score': 0.9997428059577942}], [{'label': 'POSITIVE', 'score': 0.8990191221237183}], [{'label': 'POSITIVE', 'score': 0.9994822144508362}], [{'label': 'POSITIVE', 'score': 0.9993628859519958}], [{'label': 'POSITIVE', 'score': 0.9998601675033569}], [{'label': 'POSITIVE', 'score': 0.9945831894874573}], [{'label': 'POSITIVE', 'score': 0.9611331820487976}], [{'label': 'POSITIVE', 'score': 0.9998238682746887}], [{'label': 'POSITIVE', 'score': 0.9995136260986328}], [{'label': 'NEGATIVE', 'score': 0.9643704295158386}], [{'label': 'POSITIVE', 'score': 0.9968060255050659}], [{'label': 'POSITIVE', 'score': 0.9982249140739441}]]"
216,"[[{'label': 'POSITIVE', 'score': 0.9896132349967957}], [{'label': 'POSITIVE', 'score': 0.9988670349121094}], [{'label': 'NEGATIVE', 'score': 0.9807261824607849}], [{'label': 'POSITIVE', 'score': 0.9938755631446838}], [{'label': 'POSITIVE', 'score': 0.9987838864326477}], [{'label': 'POSITIVE', 'score': 0.9998630285263062}], [{'label': 'POSITIVE', 'score': 0.9797281622886658}], [{'label': 'POSITIVE', 'score': 0.991222620010376}], [{'label': 'NEGATIVE', 'score': 0.9936723709106445}], [{'label': 'POSITIVE', 'score': 0.9997684359550476}], [{'label': 'NEGATIVE', 'score': 0.6783214211463928}], [{'label': 'POSITIVE', 'score': 0.9997859597206116}], [{'label': 'POSITIVE', 'score': 0.9997696280479431}], [{'label': 'POSITIVE', 'score': 0.998375654220581}], [{'label': 'NEGATIVE', 'score': 0.9973869919776917}], [{'label': 'NEGATIVE', 'score': 0.9736541509628296}], [{'label': 'POSITIVE', 'score': 0.9983603358268738}], [{'label': 'NEGATIVE', 'score': 0.8679453730583191}], [{'label': 'POSITIVE', 'score': 0.9966285824775696}], [{'label': 'POSITIVE', 'score': 0.992369532585144}], [{'label': 'NEGATIVE', 'score': 0.9845372438430786}], [{'label': 'POSITIVE', 'score': 0.9996053576469421}], [{'label': 'POSITIVE', 'score': 0.9997808337211609}], [{'label': 'POSITIVE', 'score': 0.9977989792823792}], [{'label': 'POSITIVE', 'score': 0.9996569156646729}], [{'label': 'POSITIVE', 'score': 0.9994214773178101}], [{'label': 'POSITIVE', 'score': 0.9993420243263245}], [{'label': 'POSITIVE', 'score': 0.994446873664856}], [{'label': 'POSITIVE', 'score': 0.9998194575309753}], [{'label': 'POSITIVE', 'score': 0.9996557235717773}], [{'label': 'POSITIVE', 'score': 0.9707605838775635}], [{'label': 'POSITIVE', 'score': 0.9992129802703857}], [{'label': 'POSITIVE', 'score': 0.998815655708313}], [{'label': 'POSITIVE', 'score': 0.933914303779602}]]"
217,"[[{'label': 'POSITIVE', 'score': 0.9943153262138367}], [{'label': 'POSITIVE', 'score': 0.8770734071731567}], [{'label': 'POSITIVE', 'score': 0.9997943043708801}], [{'label': 'POSITIVE', 'score': 0.9995563626289368}], [{'label': 'POSITIVE', 'score': 0.9994787573814392}], [{'label': 'POSITIVE', 'score': 0.9774437546730042}], [{'label': 'NEGATIVE', 'score': 0.9752084016799927}], [{'label': 'POSITIVE', 'score': 0.9995224475860596}], [{'label': 'POSITIVE', 'score': 0.9995872378349304}], [{'label': 'POSITIVE', 'score': 0.9977960586547852}], [{'label': 'POSITIVE', 'score': 0.9996745586395264}], [{'label': 'NEGATIVE', 'score': 0.9723062515258789}], [{'label': 'NEGATIVE', 'score': 0.567381739616394}], [{'label': 'POSITIVE', 'score': 0.9992960691452026}], [{'label': 'POSITIVE', 'score': 0.994845986366272}], [{'label': 'POSITIVE', 'score': 0.9910303354263306}], [{'label': 'POSITIVE', 'score': 0.9996657371520996}], [{'label': 'POSITIVE', 'score': 0.9998237490653992}], [{'label': 'POSITIVE', 'score': 0.9958707690238953}], [{'label': 'POSITIVE', 'score': 0.9994243383407593}], [{'label': 'POSITIVE', 'score': 0.9980084300041199}], [{'label': 'POSITIVE', 'score': 0.9946171641349792}], [{'label': 'POSITIVE', 'score': 0.998141884803772}], [{'label': 'POSITIVE', 'score': 0.9990020394325256}], [{'label': 'POSITIVE', 'score': 0.9996067881584167}], [{'label': 'POSITIVE', 'score': 0.988651692867279}], [{'label': 'POSITIVE', 'score': 0.9992844462394714}], [{'label': 'POSITIVE', 'score': 0.9950727820396423}], [{'label': 'POSITIVE', 'score': 0.9990330934524536}], [{'label': 'POSITIVE', 'score': 0.9933551549911499}], [{'label': 'POSITIVE', 'score': 0.9995468258857727}], [{'label': 'POSITIVE', 'score': 0.9993590712547302}]]"
218,"[[{'label': 'NEGATIVE', 'score': 0.9728900194168091}], [{'label': 'NEGATIVE', 'score': 0.7640742659568787}], [{'label': 'POSITIVE', 'score': 0.9974364638328552}], [{'label': 'NEGATIVE', 'score': 0.9966018199920654}], [{'label': 'NEGATIVE', 'score': 0.9809199571609497}], [{'label': 'NEGATIVE', 'score': 0.824104368686676}], [{'label': 'POSITIVE', 'score': 0.7609562873840332}], [{'label': 'POSITIVE', 'score': 0.6144709587097168}], [{'label': 'POSITIVE', 'score': 0.9980980753898621}], [{'label': 'POSITIVE', 'score': 0.9934303164482117}], [{'label': 'POSITIVE', 'score': 0.9334191679954529}], [{'label': 'POSITIVE', 'score': 0.995010495185852}], [{'label': 'POSITIVE', 'score': 0.9883324503898621}], [{'label': 'POSITIVE', 'score': 0.9500053524971008}], [{'label': 'POSITIVE', 'score': 0.999687671661377}], [{'label': 'POSITIVE', 'score': 0.5505721569061279}], [{'label': 'POSITIVE', 'score': 0.9996763467788696}], [{'label': 'POSITIVE', 'score': 0.9996724128723145}], [{'label': 'POSITIVE', 'score': 0.9998076558113098}], [{'label': 'POSITIVE', 'score': 0.9846175909042358}], [{'label': 'POSITIVE', 'score': 0.9988125562667847}], [{'label': 'NEGATIVE', 'score': 0.7187613248825073}], [{'label': 'POSITIVE', 'score': 0.9992102384567261}], [{'label': 'NEGATIVE', 'score': 0.9716976881027222}], [{'label': 'POSITIVE', 'score': 0.998788058757782}], [{'label': 'POSITIVE', 'score': 0.9991519451141357}], [{'label': 'NEGATIVE', 'score': 0.9665507674217224}], [{'label': 'POSITIVE', 'score': 0.999058187007904}], [{'label': 'POSITIVE', 'score': 0.9996731281280518}], [{'label': 'NEGATIVE', 'score': 0.9642708897590637}], [{'label': 'POSITIVE', 'score': 0.9964401125907898}], [{'label': 'POSITIVE', 'score': 0.9995014667510986}]]"
219,"[[{'label': 'POSITIVE', 'score': 0.9964357614517212}], [{'label': 'POSITIVE', 'score': 0.9994605183601379}], [{'label': 'POSITIVE', 'score': 0.9873672723770142}], [{'label': 'POSITIVE', 'score': 0.9526014924049377}], [{'label': 'POSITIVE', 'score': 0.9988697171211243}], [{'label': 'POSITIVE', 'score': 0.8907607197761536}], [{'label': 'POSITIVE', 'score': 0.9994617104530334}], [{'label': 'POSITIVE', 'score': 0.9994364380836487}], [{'label': 'POSITIVE', 'score': 0.5112987160682678}], [{'label': 'POSITIVE', 'score': 0.9873549342155457}], [{'label': 'POSITIVE', 'score': 0.9994526505470276}], [{'label': 'POSITIVE', 'score': 0.8827584385871887}], [{'label': 'POSITIVE', 'score': 0.5378804206848145}], [{'label': 'NEGATIVE', 'score': 0.9645512700080872}], [{'label': 'POSITIVE', 'score': 0.7478432655334473}], [{'label': 'POSITIVE', 'score': 0.9998469352722168}]]"
220,"[[{'label': 'POSITIVE', 'score': 0.9992351531982422}], [{'label': 'POSITIVE', 'score': 0.6493453979492188}], [{'label': 'POSITIVE', 'score': 0.7545471787452698}], [{'label': 'POSITIVE', 'score': 0.8089928030967712}], [{'label': 'POSITIVE', 'score': 0.6216098666191101}], [{'label': 'POSITIVE', 'score': 0.818004310131073}]]"
221,"[[{'label': 'POSITIVE', 'score': 0.9997606873512268}], [{'label': 'POSITIVE', 'score': 0.9998666048049927}], [{'label': 'POSITIVE', 'score': 0.9990518689155579}], [{'label': 'POSITIVE', 'score': 0.9770380258560181}], [{'label': 'POSITIVE', 'score': 0.9984409213066101}], [{'label': 'POSITIVE', 'score': 0.9998071789741516}], [{'label': 'POSITIVE', 'score': 0.9991928935050964}], [{'label': 'POSITIVE', 'score': 0.9997493624687195}], [{'label': 'POSITIVE', 'score': 0.9989798665046692}], [{'label': 'POSITIVE', 'score': 0.9934351444244385}], [{'label': 'POSITIVE', 'score': 0.9991034865379333}], [{'label': 'NEGATIVE', 'score': 0.6106246709823608}], [{'label': 'POSITIVE', 'score': 0.9994567036628723}], [{'label': 'POSITIVE', 'score': 0.9814635515213013}], [{'label': 'POSITIVE', 'score': 0.9954317808151245}], [{'label': 'POSITIVE', 'score': 0.9934689998626709}], [{'label': 'POSITIVE', 'score': 0.9981196522712708}], [{'label': 'POSITIVE', 'score': 0.5419323444366455}], [{'label': 'NEGATIVE', 'score': 0.9880856275558472}], [{'label': 'POSITIVE', 'score': 0.9982104301452637}], [{'label': 'POSITIVE', 'score': 0.9989018440246582}], [{'label': 'POSITIVE', 'score': 0.9982621073722839}], [{'label': 'POSITIVE', 'score': 0.9811181426048279}], [{'label': 'POSITIVE', 'score': 0.9721195101737976}], [{'label': 'NEGATIVE', 'score': 0.9352829456329346}], [{'label': 'POSITIVE', 'score': 0.9992859959602356}], [{'label': 'POSITIVE', 'score': 0.9658095240592957}], [{'label': 'POSITIVE', 'score': 0.996340811252594}], [{'label': 'POSITIVE', 'score': 0.9998306035995483}], [{'label': 'POSITIVE', 'score': 0.9977756142616272}], [{'label': 'POSITIVE', 'score': 0.9705166220664978}], [{'label': 'POSITIVE', 'score': 0.9996635913848877}], [{'label': 'POSITIVE', 'score': 0.993172824382782}], [{'label': 'POSITIVE', 'score': 0.997800886631012}], [{'label': 'POSITIVE', 'score': 0.989290177822113}], [{'label': 'POSITIVE', 'score': 0.9976025223731995}], [{'label': 'POSITIVE', 'score': 0.994904637336731}], [{'label': 'POSITIVE', 'score': 0.9996261596679688}], [{'label': 'POSITIVE', 'score': 0.9996980428695679}], [{'label': 'POSITIVE', 'score': 0.9996974468231201}], [{'label': 'POSITIVE', 'score': 0.9995649456977844}], [{'label': 'POSITIVE', 'score': 0.9994304776191711}], [{'label': 'POSITIVE', 'score': 0.9997491240501404}], [{'label': 'POSITIVE', 'score': 0.9996010661125183}], [{'label': 'POSITIVE', 'score': 0.9996365308761597}], [{'label': 'POSITIVE', 'score': 0.9984446167945862}], [{'label': 'POSITIVE', 'score': 0.9998416900634766}], [{'label': 'POSITIVE', 'score': 0.9987642765045166}], [{'label': 'POSITIVE', 'score': 0.999874472618103}], [{'label': 'POSITIVE', 'score': 0.9975374937057495}], [{'label': 'POSITIVE', 'score': 0.9987515211105347}], [{'label': 'POSITIVE', 'score': 0.9997276663780212}]]"
222,"[[{'label': 'POSITIVE', 'score': 0.9850701093673706}], [{'label': 'POSITIVE', 'score': 0.6237629055976868}]]"
223,"[[{'label': 'POSITIVE', 'score': 0.9970334768295288}], [{'label': 'NEGATIVE', 'score': 0.6664374470710754}], [{'label': 'POSITIVE', 'score': 0.9858534336090088}], [{'label': 'POSITIVE', 'score': 0.9641387462615967}], [{'label': 'POSITIVE', 'score': 0.9986737966537476}], [{'label': 'POSITIVE', 'score': 0.9984930753707886}], [{'label': 'POSITIVE', 'score': 0.9921826720237732}], [{'label': 'POSITIVE', 'score': 0.9998249411582947}], [{'label': 'POSITIVE', 'score': 0.9873991012573242}], [{'label': 'POSITIVE', 'score': 0.9456977844238281}], [{'label': 'POSITIVE', 'score': 0.9974223375320435}], [{'label': 'POSITIVE', 'score': 0.9983069896697998}], [{'label': 'NEGATIVE', 'score': 0.8744301795959473}], [{'label': 'POSITIVE', 'score': 0.9890540838241577}], [{'label': 'POSITIVE', 'score': 0.9931613206863403}], [{'label': 'POSITIVE', 'score': 0.9984569549560547}], [{'label': 'POSITIVE', 'score': 0.946707010269165}], [{'label': 'NEGATIVE', 'score': 0.9938924312591553}], [{'label': 'POSITIVE', 'score': 0.9991477727890015}], [{'label': 'POSITIVE', 'score': 0.9988975524902344}], [{'label': 'NEGATIVE', 'score': 0.9711251258850098}], [{'label': 'POSITIVE', 'score': 0.5330129265785217}], [{'label': 'POSITIVE', 'score': 0.9927732348442078}], [{'label': 'POSITIVE', 'score': 0.9960903525352478}], [{'label': 'POSITIVE', 'score': 0.9459376335144043}], [{'label': 'POSITIVE', 'score': 0.9133437275886536}], [{'label': 'POSITIVE', 'score': 0.9951034784317017}], [{'label': 'POSITIVE', 'score': 0.9881019592285156}], [{'label': 'POSITIVE', 'score': 0.9661626815795898}], [{'label': 'POSITIVE', 'score': 0.9991613626480103}], [{'label': 'NEGATIVE', 'score': 0.702853798866272}], [{'label': 'POSITIVE', 'score': 0.9888839721679688}], [{'label': 'POSITIVE', 'score': 0.999832272529602}], [{'label': 'POSITIVE', 'score': 0.9995679259300232}], [{'label': 'POSITIVE', 'score': 0.998458743095398}], [{'label': 'POSITIVE', 'score': 0.9998601675033569}], [{'label': 'POSITIVE', 'score': 0.8203069567680359}], [{'label': 'POSITIVE', 'score': 0.5274675488471985}], [{'label': 'POSITIVE', 'score': 0.9994860887527466}], [{'label': 'POSITIVE', 'score': 0.9494295716285706}], [{'label': 'POSITIVE', 'score': 0.9274058938026428}], [{'label': 'POSITIVE', 'score': 0.9989797472953796}], [{'label': 'POSITIVE', 'score': 0.9997063279151917}], [{'label': 'POSITIVE', 'score': 0.9998007416725159}], [{'label': 'POSITIVE', 'score': 0.9974226951599121}], [{'label': 'POSITIVE', 'score': 0.9997844099998474}], [{'label': 'POSITIVE', 'score': 0.596052348613739}], [{'label': 'POSITIVE', 'score': 0.9995679259300232}], [{'label': 'POSITIVE', 'score': 0.999708354473114}], [{'label': 'NEGATIVE', 'score': 0.9815946817398071}], [{'label': 'POSITIVE', 'score': 0.9965494871139526}], [{'label': 'NEGATIVE', 'score': 0.7866945862770081}], [{'label': 'POSITIVE', 'score': 0.9967811107635498}], [{'label': 'POSITIVE', 'score': 0.9883040189743042}], [{'label': 'POSITIVE', 'score': 0.9938701391220093}]]"
224,"[[{'label': 'POSITIVE', 'score': 0.9993867874145508}], [{'label': 'POSITIVE', 'score': 0.9948851466178894}], [{'label': 'POSITIVE', 'score': 0.9997678399085999}], [{'label': 'POSITIVE', 'score': 0.9997113347053528}], [{'label': 'POSITIVE', 'score': 0.999699592590332}], [{'label': 'POSITIVE', 'score': 0.9978110194206238}], [{'label': 'POSITIVE', 'score': 0.9997164607048035}], [{'label': 'NEGATIVE', 'score': 0.9908015131950378}], [{'label': 'POSITIVE', 'score': 0.975253164768219}], [{'label': 'POSITIVE', 'score': 0.9996131062507629}], [{'label': 'POSITIVE', 'score': 0.9618528485298157}], [{'label': 'POSITIVE', 'score': 0.9995071887969971}], [{'label': 'POSITIVE', 'score': 0.9766286015510559}], [{'label': 'POSITIVE', 'score': 0.9676811099052429}], [{'label': 'POSITIVE', 'score': 0.9997825026512146}], [{'label': 'POSITIVE', 'score': 0.9997327923774719}]]"
225,"[[{'label': 'POSITIVE', 'score': 0.9972816705703735}], [{'label': 'POSITIVE', 'score': 0.9992990493774414}], [{'label': 'POSITIVE', 'score': 0.9995574355125427}], [{'label': 'POSITIVE', 'score': 0.999251663684845}], [{'label': 'POSITIVE', 'score': 0.998871386051178}], [{'label': 'POSITIVE', 'score': 0.9958932399749756}], [{'label': 'NEGATIVE', 'score': 0.8338491320610046}], [{'label': 'POSITIVE', 'score': 0.9997616410255432}], [{'label': 'POSITIVE', 'score': 0.6832994818687439}], [{'label': 'POSITIVE', 'score': 0.9994262456893921}], [{'label': 'POSITIVE', 'score': 0.9577764272689819}], [{'label': 'POSITIVE', 'score': 0.9591604471206665}], [{'label': 'POSITIVE', 'score': 0.9876291751861572}], [{'label': 'POSITIVE', 'score': 0.9997208714485168}], [{'label': 'POSITIVE', 'score': 0.9990000128746033}], [{'label': 'POSITIVE', 'score': 0.9984887838363647}], [{'label': 'POSITIVE', 'score': 0.9994083642959595}], [{'label': 'POSITIVE', 'score': 0.9331684708595276}], [{'label': 'POSITIVE', 'score': 0.9997949004173279}], [{'label': 'POSITIVE', 'score': 0.9985040426254272}], [{'label': 'POSITIVE', 'score': 0.9960466027259827}], [{'label': 'POSITIVE', 'score': 0.9998272061347961}], [{'label': 'POSITIVE', 'score': 0.9993981122970581}]]"
226,"[[{'label': 'POSITIVE', 'score': 0.9983055591583252}], [{'label': 'POSITIVE', 'score': 0.990770697593689}], [{'label': 'POSITIVE', 'score': 0.9940728545188904}], [{'label': 'POSITIVE', 'score': 0.9935528039932251}], [{'label': 'POSITIVE', 'score': 0.997736930847168}], [{'label': 'POSITIVE', 'score': 0.9998062252998352}], [{'label': 'NEGATIVE', 'score': 0.9931968450546265}], [{'label': 'POSITIVE', 'score': 0.9884814023971558}], [{'label': 'POSITIVE', 'score': 0.9997722506523132}], [{'label': 'POSITIVE', 'score': 0.9998210072517395}], [{'label': 'POSITIVE', 'score': 0.9974830746650696}], [{'label': 'POSITIVE', 'score': 0.9980575442314148}], [{'label': 'NEGATIVE', 'score': 0.994652509689331}], [{'label': 'NEGATIVE', 'score': 0.8762677907943726}], [{'label': 'NEGATIVE', 'score': 0.9805479049682617}], [{'label': 'NEGATIVE', 'score': 0.985844612121582}], [{'label': 'POSITIVE', 'score': 0.6792644262313843}], [{'label': 'POSITIVE', 'score': 0.9678901433944702}], [{'label': 'POSITIVE', 'score': 0.9920237064361572}], [{'label': 'NEGATIVE', 'score': 0.9270080327987671}], [{'label': 'NEGATIVE', 'score': 0.9953355193138123}], [{'label': 'POSITIVE', 'score': 0.9907456636428833}], [{'label': 'NEGATIVE', 'score': 0.9876909255981445}], [{'label': 'NEGATIVE', 'score': 0.9997233748435974}], [{'label': 'POSITIVE', 'score': 0.9956100583076477}], [{'label': 'POSITIVE', 'score': 0.9686654806137085}], [{'label': 'POSITIVE', 'score': 0.9605273604393005}], [{'label': 'POSITIVE', 'score': 0.9995884299278259}], [{'label': 'POSITIVE', 'score': 0.9981448650360107}], [{'label': 'POSITIVE', 'score': 0.9996010661125183}], [{'label': 'POSITIVE', 'score': 0.9989404082298279}], [{'label': 'POSITIVE', 'score': 0.9997945427894592}], [{'label': 'POSITIVE', 'score': 0.9991803765296936}], [{'label': 'POSITIVE', 'score': 0.9995031356811523}], [{'label': 'POSITIVE', 'score': 0.9997949004173279}], [{'label': 'POSITIVE', 'score': 0.9997115731239319}], [{'label': 'POSITIVE', 'score': 0.9994551539421082}], [{'label': 'POSITIVE', 'score': 0.9936981797218323}], [{'label': 'POSITIVE', 'score': 0.9945953488349915}], [{'label': 'NEGATIVE', 'score': 0.9621418714523315}], [{'label': 'POSITIVE', 'score': 0.9987335801124573}], [{'label': 'POSITIVE', 'score': 0.9962956309318542}], [{'label': 'POSITIVE', 'score': 0.9989786148071289}], [{'label': 'POSITIVE', 'score': 0.9986057877540588}], [{'label': 'NEGATIVE', 'score': 0.5132306218147278}], [{'label': 'POSITIVE', 'score': 0.9997941851615906}], [{'label': 'POSITIVE', 'score': 0.9997368454933167}], [{'label': 'POSITIVE', 'score': 0.999790370464325}]]"
227,"[[{'label': 'POSITIVE', 'score': 0.9997796416282654}], [{'label': 'POSITIVE', 'score': 0.9998077750205994}], [{'label': 'POSITIVE', 'score': 0.9991130232810974}], [{'label': 'POSITIVE', 'score': 0.999386191368103}], [{'label': 'POSITIVE', 'score': 0.8298609852790833}], [{'label': 'POSITIVE', 'score': 0.9434112310409546}], [{'label': 'POSITIVE', 'score': 0.9899463057518005}], [{'label': 'POSITIVE', 'score': 0.9992984533309937}], [{'label': 'POSITIVE', 'score': 0.999725878238678}], [{'label': 'POSITIVE', 'score': 0.9996867179870605}], [{'label': 'POSITIVE', 'score': 0.9997488856315613}], [{'label': 'POSITIVE', 'score': 0.998621940612793}], [{'label': 'POSITIVE', 'score': 0.9990717172622681}], [{'label': 'POSITIVE', 'score': 0.9998083710670471}], [{'label': 'NEGATIVE', 'score': 0.6872650384902954}], [{'label': 'POSITIVE', 'score': 0.999777615070343}], [{'label': 'POSITIVE', 'score': 0.9997544884681702}], [{'label': 'POSITIVE', 'score': 0.9989903569221497}], [{'label': 'POSITIVE', 'score': 0.9998055100440979}], [{'label': 'NEGATIVE', 'score': 0.7448451519012451}], [{'label': 'POSITIVE', 'score': 0.8936964869499207}], [{'label': 'NEGATIVE', 'score': 0.9722563028335571}], [{'label': 'POSITIVE', 'score': 0.9994895458221436}], [{'label': 'POSITIVE', 'score': 0.9228707551956177}], [{'label': 'POSITIVE', 'score': 0.998195230960846}], [{'label': 'POSITIVE', 'score': 0.9835858345031738}], [{'label': 'POSITIVE', 'score': 0.9911916851997375}], [{'label': 'POSITIVE', 'score': 0.9996575117111206}], [{'label': 'POSITIVE', 'score': 0.9998358488082886}], [{'label': 'POSITIVE', 'score': 0.9997145533561707}]]"
228,"[[{'label': 'POSITIVE', 'score': 0.9995365142822266}], [{'label': 'POSITIVE', 'score': 0.9975574016571045}], [{'label': 'POSITIVE', 'score': 0.9858864545822144}], [{'label': 'NEGATIVE', 'score': 0.9721289873123169}], [{'label': 'NEGATIVE', 'score': 0.9722970128059387}], [{'label': 'NEGATIVE', 'score': 0.9954611659049988}], [{'label': 'NEGATIVE', 'score': 0.978679895401001}], [{'label': 'POSITIVE', 'score': 0.999751627445221}], [{'label': 'NEGATIVE', 'score': 0.7143155336380005}], [{'label': 'POSITIVE', 'score': 0.9998127818107605}], [{'label': 'POSITIVE', 'score': 0.9987925291061401}], [{'label': 'POSITIVE', 'score': 0.9997515082359314}]]"
229,"[[{'label': 'POSITIVE', 'score': 0.9998400211334229}], [{'label': 'POSITIVE', 'score': 0.9996433258056641}], [{'label': 'POSITIVE', 'score': 0.9998817443847656}], [{'label': 'POSITIVE', 'score': 0.999805748462677}], [{'label': 'POSITIVE', 'score': 0.9998005032539368}], [{'label': 'POSITIVE', 'score': 0.9997935891151428}], [{'label': 'POSITIVE', 'score': 0.999761164188385}], [{'label': 'POSITIVE', 'score': 0.9997983574867249}], [{'label': 'POSITIVE', 'score': 0.9997565150260925}], [{'label': 'POSITIVE', 'score': 0.9994366765022278}], [{'label': 'POSITIVE', 'score': 0.9998776912689209}], [{'label': 'POSITIVE', 'score': 0.9998525381088257}], [{'label': 'POSITIVE', 'score': 0.9998538494110107}]]"
230,"[[{'label': 'POSITIVE', 'score': 0.9971531629562378}], [{'label': 'POSITIVE', 'score': 0.9997982382774353}], [{'label': 'NEGATIVE', 'score': 0.9753835797309875}]]"
231,"[[{'label': 'POSITIVE', 'score': 0.9996985197067261}], [{'label': 'POSITIVE', 'score': 0.9997175335884094}], [{'label': 'POSITIVE', 'score': 0.9967272281646729}], [{'label': 'POSITIVE', 'score': 0.9993651509284973}], [{'label': 'POSITIVE', 'score': 0.9996370077133179}], [{'label': 'POSITIVE', 'score': 0.9993525147438049}], [{'label': 'POSITIVE', 'score': 0.999321460723877}], [{'label': 'POSITIVE', 'score': 0.9958944320678711}], [{'label': 'POSITIVE', 'score': 0.9998278617858887}], [{'label': 'POSITIVE', 'score': 0.999790370464325}], [{'label': 'POSITIVE', 'score': 0.9988988637924194}], [{'label': 'POSITIVE', 'score': 0.9994180202484131}], [{'label': 'POSITIVE', 'score': 0.9998194575309753}], [{'label': 'POSITIVE', 'score': 0.9998645782470703}], [{'label': 'POSITIVE', 'score': 0.9956598877906799}], [{'label': 'POSITIVE', 'score': 0.9998124241828918}], [{'label': 'POSITIVE', 'score': 0.9986119270324707}], [{'label': 'POSITIVE', 'score': 0.9997991919517517}], [{'label': 'POSITIVE', 'score': 0.9998552799224854}], [{'label': 'POSITIVE', 'score': 0.998917818069458}], [{'label': 'POSITIVE', 'score': 0.999470055103302}], [{'label': 'POSITIVE', 'score': 0.9996778964996338}], [{'label': 'POSITIVE', 'score': 0.9997183680534363}], [{'label': 'POSITIVE', 'score': 0.9997819066047668}]]"
